frame,time,bone,true_deg,computed_deg,diff_deg,sign_match
0,0.0000,L_UpperArm,-8.33,-70.00,-61.67,Y
0,0.0000,L_LowerArm,4.95,34.82,29.87,Y
0,0.0000,R_UpperArm,7.84,36.03,28.19,Y
0,0.0000,R_LowerArm,-8.24,-51.47,-43.23,Y
0,0.0000,L_UpperLeg,11.86,0.00,-11.86,Y
0,0.0000,L_LowerLeg,-2.69,0.00,2.69,Y
0,0.0000,R_UpperLeg,-0.74,0.00,0.74,Y
0,0.0000,R_LowerLeg,-0.37,0.00,0.37,Y
1,0.0333,L_UpperArm,-6.68,-70.00,-63.32,Y
1,0.0333,L_LowerArm,7.14,34.32,27.18,Y
1,0.0333,R_UpperArm,12.05,36.65,24.60,Y
1,0.0333,R_LowerArm,-6.47,-51.54,-45.06,Y
1,0.0333,L_UpperLeg,11.63,0.00,-11.63,Y
1,0.0333,L_LowerLeg,-3.64,0.00,3.64,Y
1,0.0333,R_UpperLeg,-1.16,0.00,1.16,Y
1,0.0333,R_LowerLeg,-0.66,0.00,0.66,Y
2,0.0667,L_UpperArm,-5.12,-70.00,-64.88,Y
2,0.0667,L_LowerArm,11.25,35.31,24.06,Y
2,0.0667,R_UpperArm,14.50,37.82,23.32,Y
2,0.0667,R_LowerArm,-5.42,-51.73,-46.31,Y
2,0.0667,L_UpperLeg,11.34,0.00,-11.34,Y
2,0.0667,L_LowerLeg,-5.60,0.00,5.60,Y
2,0.0667,R_UpperLeg,-1.86,0.00,1.86,Y
2,0.0667,R_LowerLeg,-1.48,0.00,1.48,Y
3,0.1000,L_UpperArm,-3.24,-70.00,-66.76,Y
3,0.1000,L_LowerArm,15.40,41.85,26.46,Y
3,0.1000,R_UpperArm,16.39,39.64,23.24,Y
3,0.1000,R_LowerArm,-5.22,-52.93,-47.70,Y
3,0.1000,L_UpperLeg,11.23,0.00,-11.23,Y
3,0.1000,L_LowerLeg,-3.16,0.00,3.16,Y
3,0.1000,R_UpperLeg,-2.68,0.00,2.68,Y
3,0.1000,R_LowerLeg,-2.77,0.00,2.77,Y
4,0.1333,L_UpperArm,-0.50,-70.00,-69.50,Y
4,0.1333,L_LowerArm,19.67,52.47,32.80,Y
4,0.1333,R_UpperArm,16.89,43.50,26.61,Y
4,0.1333,R_LowerArm,-6.02,-56.94,-50.92,Y
4,0.1333,L_UpperLeg,11.40,0.00,-11.40,Y
4,0.1333,L_LowerLeg,1.00,0.00,-1.00,Y
4,0.1333,R_UpperLeg,-2.32,0.00,2.32,Y
4,0.1333,R_LowerLeg,-4.35,0.00,4.35,Y
5,0.1667,L_UpperArm,3.38,-70.00,-73.38,Y
5,0.1667,L_LowerArm,23.46,61.78,38.32,Y
5,0.1667,R_UpperArm,15.68,48.93,33.25,Y
5,0.1667,R_LowerArm,-9.03,-65.95,-56.92,Y
5,0.1667,L_UpperLeg,11.94,0.00,-11.94,Y
5,0.1667,L_LowerLeg,4.55,0.00,-4.55,Y
5,0.1667,R_UpperLeg,-1.36,0.00,1.36,Y
5,0.1667,R_LowerLeg,-5.17,0.00,5.17,Y
6,0.2000,L_UpperArm,6.28,-70.00,-76.28,N
6,0.2000,L_LowerArm,26.25,65.69,39.44,Y
6,0.2000,R_UpperArm,13.50,55.36,41.86,Y
6,0.2000,R_LowerArm,-11.16,-76.47,-65.31,Y
6,0.2000,L_UpperLeg,10.54,0.00,-10.54,Y
6,0.2000,L_LowerLeg,8.81,0.00,-8.81,Y
6,0.2000,R_UpperLeg,-1.10,0.00,1.10,Y
6,0.2000,R_LowerLeg,-5.39,0.00,5.39,Y
7,0.2333,L_UpperArm,5.54,-66.99,-72.53,N
7,0.2333,L_LowerArm,26.92,63.42,36.50,Y
7,0.2333,R_UpperArm,10.83,61.82,50.99,Y
7,0.2333,R_LowerArm,-12.35,-85.76,-73.41,Y
7,0.2333,L_UpperLeg,7.67,0.00,-7.67,Y
7,0.2333,L_LowerLeg,13.12,0.00,-13.12,Y
7,0.2333,R_UpperLeg,-2.60,0.00,2.60,Y
7,0.2333,R_LowerLeg,-5.38,0.00,5.38,Y
8,0.2667,L_UpperArm,1.17,-55.12,-56.29,Y
8,0.2667,L_LowerArm,25.52,58.18,32.66,Y
8,0.2667,R_UpperArm,6.71,63.22,56.50,Y
8,0.2667,R_LowerArm,-13.94,-88.74,-74.80,Y
8,0.2667,L_UpperLeg,4.04,0.00,-4.04,Y
8,0.2667,L_LowerLeg,13.65,0.00,-13.65,Y
8,0.2667,R_UpperLeg,2.33,0.00,-2.33,Y
8,0.2667,R_LowerLeg,-4.17,0.00,4.17,Y
