frame,time,bone,true_deg,computed_deg,diff_deg,raw_deg,pre_clamp_deg,clamped_deg,filtered_deg,expected_proj_mag,current_proj_mag,ref_axis_angle_deg,degenerate,held_previous_raw,ref_to_bone_forward_deg,ref_to_bone_up_deg,ref_to_bone_right_deg,axis_x,axis_y,axis_z,ref_x,ref_y,ref_z
0,0.0000,L_UpperArm,-8.33,-70.00,-61.67,-54.88,-89.70,-70.00,-70.00,0.9987,0.9658,105.04,N,N,83.53,91.03,173.45,-0.30308,-0.78845,0.53525,0.20387,-0.36580,-0.90809
0,0.0000,L_LowerArm,4.95,34.82,29.87,34.82,34.82,34.82,34.82,0.9987,0.9987,92.94,N,N,83.53,91.03,173.45,0.95042,-0.07751,0.30114,0.20387,-0.36580,-0.90809
0,0.0000,R_UpperArm,7.84,36.03,28.19,-15.44,36.03,36.03,36.03,0.9988,0.9688,75.65,N,N,96.50,89.06,173.43,0.11263,-0.76058,-0.63940,0.47699,0.40187,-0.78165
0,0.0000,R_LowerArm,-8.24,-51.47,-43.23,-51.47,-51.47,-51.47,-51.47,0.9989,0.9979,86.32,N,N,96.50,89.06,173.43,0.87352,-0.42872,0.23058,0.47699,0.40187,-0.78165
0,0.0000,L_UpperLeg,11.86,0.00,-11.86,0.00,0.00,0.00,0.00,0.0972,0.6024,142.96,Y,N,29.20,118.98,86.77,0.11130,-0.81704,0.56573,-0.01787,0.99920,0.03572
0,0.0000,L_LowerLeg,-2.69,0.00,2.69,0.00,0.00,0.00,0.00,0.1203,0.4014,156.33,Y,N,29.20,118.98,86.77,-0.09144,-0.93091,0.35363,-0.01787,0.99920,0.03572
0,0.0000,R_UpperLeg,-0.74,0.00,0.74,0.00,0.00,0.00,0.00,0.0956,0.3327,160.57,Y,N,22.35,112.35,89.86,0.31502,-0.93169,-0.18090,-0.01787,0.99920,0.03572
0,0.0000,R_LowerLeg,-0.37,0.00,0.37,0.00,0.00,0.00,0.00,0.1152,0.3112,161.87,Y,N,22.35,112.35,89.86,0.16643,-0.93718,-0.30658,-0.01787,0.99920,0.03572
1,0.0333,L_UpperArm,-6.68,-70.00,-63.32,-51.89,-86.21,-70.00,-70.00,0.9987,0.9526,107.72,N,N,83.53,91.03,173.45,-0.32852,-0.77835,0.53501,0.26361,-0.34062,-0.90249
1,0.0333,L_LowerArm,7.14,34.32,27.18,32.77,32.77,32.77,34.32,0.9987,0.9975,94.03,N,N,83.53,91.03,173.45,0.91481,-0.11317,0.38771,0.26361,-0.34062,-0.90249
1,0.0333,R_UpperArm,12.05,36.65,24.60,-12.39,39.15,39.15,36.65,0.9988,0.9742,76.97,N,N,96.50,89.06,173.43,0.08482,-0.75984,-0.64456,0.51340,0.40317,-0.75754
1,0.0333,R_LowerArm,-6.47,-51.54,-45.06,-51.82,-51.82,-51.82,-51.54,0.9989,1.0000,90.07,N,N,96.50,89.06,173.43,0.83783,-0.42415,0.34370,0.51340,0.40317,-0.75754
1,0.0333,L_UpperLeg,11.63,0.00,-11.63,0.00,0.00,0.00,0.00,0.0972,0.6167,141.93,Y,N,29.04,118.75,86.22,0.11380,-0.80670,0.57990,-0.01199,0.99932,0.03497
1,0.0333,L_LowerLeg,-3.64,0.00,3.64,0.00,0.00,0.00,0.00,0.1203,0.3903,157.02,Y,N,29.04,118.75,86.22,-0.10630,-0.93447,0.33980,-0.01199,0.99932,0.03497
1,0.0333,R_UpperLeg,-1.16,0.00,1.16,0.00,0.00,0.00,0.00,0.0956,0.3377,160.26,Y,N,22.23,112.23,89.76,0.31023,-0.93152,-0.18981,-0.01199,0.99932,0.03497
1,0.0333,R_LowerLeg,-0.66,0.00,0.66,0.00,0.00,0.00,0.00,0.1152,0.3209,161.28,Y,N,22.23,112.23,89.76,0.16933,-0.93480,-0.31223,-0.01199,0.99932,0.03497
2,0.0667,L_UpperArm,-5.12,-70.00,-64.88,-48.49,-83.81,-70.00,-70.00,0.9987,0.9115,114.29,N,N,83.53,91.03,173.45,-0.36129,-0.77267,0.52197,0.35901,-0.24414,-0.90084
2,0.0667,L_LowerArm,11.25,35.31,24.06,38.29,38.29,38.29,35.31,0.9987,0.9964,94.90,N,N,83.53,91.03,173.45,0.86650,-0.14204,0.47855,0.35901,-0.24414,-0.90084
2,0.0667,R_UpperArm,14.50,37.82,23.32,-10.77,40.96,40.96,37.82,0.9988,0.9760,77.41,N,N,96.50,89.06,173.43,0.12084,-0.76744,-0.62963,0.55622,0.40082,-0.72798
2,0.0667,R_LowerArm,-5.42,-51.73,-46.31,-52.44,-52.44,-52.44,-51.73,0.9989,0.9979,93.75,N,N,96.50,89.06,173.43,0.78658,-0.39970,0.47067,0.55622,0.40082,-0.72798
2,0.0667,L_UpperLeg,11.34,0.00,-11.34,0.00,0.00,0.00,0.00,0.0972,0.6325,140.77,Y,N,29.58,119.16,85.45,0.10783,-0.79680,0.59454,-0.00417,0.99930,0.03719
2,0.0667,L_LowerLeg,-5.60,0.00,5.60,0.00,0.00,0.00,0.00,0.1203,0.3791,157.72,Y,N,29.58,119.16,85.45,-0.12546,-0.93851,0.32166,-0.00417,0.99930,0.03719
2,0.0667,R_UpperLeg,-1.86,0.00,1.86,0.00,0.00,0.00,0.00,0.0956,0.3395,160.15,Y,N,22.34,112.33,89.51,0.29605,-0.93228,-0.20788,-0.00417,0.99930,0.03719
2,0.0667,R_LowerLeg,-1.48,0.00,1.48,0.00,0.00,0.00,0.00,0.1152,0.3322,160.60,Y,N,22.34,112.33,89.51,0.17132,-0.93117,-0.32183,-0.00417,0.99930,0.03719
3,0.1000,L_UpperArm,-3.24,-70.00,-66.76,-42.58,-84.43,-70.00,-70.00,0.9987,0.8600,120.69,N,N,83.53,91.03,173.45,-0.40974,-0.76379,0.49873,0.49204,-0.15516,-0.85664
